name,version,ecosystem,license,license_file,license_evidence,homepage,repository,source,purl,direct
agent-task-queue,0.4.1,pypi,Apache-2.0,LICENSE,,,,,pkg:pypi/agent-task-queue@0.4.1,
aiofile,3.11.1,pypi,Apache-2.0,LICENCE; LICENCE.md,,https://github.com/mosquito/aiofile,,,pkg:pypi/aiofile@3.11.1,
annotated-types,0.8.0,pypi,MIT,LICENSE,,https://github.com/annotated-types/annotated-types,https://github.com/annotated-types/annotated-types,,pkg:pypi/annotated-types@0.8.0,
anyio,4.14.2,pypi,MIT,LICENSE,,https://anyio.readthedocs.io/en/latest/,https://github.com/agronholm/anyio,,pkg:pypi/anyio@4.14.2,
attrs,26.1.0,pypi,MIT,LICENSE,,https://www.attrs.org/,,,pkg:pypi/attrs@26.1.0,
Authlib,1.7.2,pypi,BSD-3-Clause,LICENSE,,https://docs.authlib.org/,https://github.com/authlib/authlib,,pkg:pypi/authlib@1.7.2,
beartype,0.22.9,pypi,MIT,LICENSE,https://github.com/beartype/beartype/blob/main/LICENSE,,,,pkg:pypi/beartype@0.22.9,
cachetools,7.1.6,pypi,MIT,LICENSE,,https://github.com/tkem/cachetools/,https://github.com/tkem/cachetools/,,pkg:pypi/cachetools@7.1.6,
caio,0.9.25,pypi,Apache-2.0,COPYING,,,https://github.com/mosquito/caio/,,pkg:pypi/caio@0.9.25,
certifi,2026.7.22,pypi,MPL-2.0,LICENSE,,https://github.com/certifi/python-certifi,https://github.com/certifi/python-certifi,,pkg:pypi/certifi@2026.7.22,
cffi,2.1.0,pypi,MIT-0,LICENSE,,https://cffi.readthedocs.io/,https://github.com/python-cffi/cffi,,pkg:pypi/cffi@2.1.0,
click,8.4.2,pypi,BSD-3-Clause,LICENSE.txt,,https://click.palletsprojects.com/,https://github.com/pallets/click/,,pkg:pypi/click@8.4.2,
cryptography,49.0.0,pypi,Apache-2.0 OR BSD-3-Clause,LICENSE; LICENSE.APACHE; LICENSE.BSD,,https://github.com/pyca/cryptography,https://github.com/pyca/cryptography/,,pkg:pypi/cryptography@49.0.0,
cyclopts,4.22.2,pypi,Apache-2.0,LICENSE,,https://github.com/BrianPugh/cyclopts,https://github.com/BrianPugh/cyclopts,,pkg:pypi/cyclopts@4.22.2,
dnspython,2.8.0,pypi,ISC,LICENSE,,https://www.dnspython.org,https://github.com/rthalley/dnspython.git,,pkg:pypi/dnspython@2.8.0,
docstring_parser,0.18.0,pypi,MIT,LICENSE.md,,https://github.com/rr-/docstring_parser,https://github.com/rr-/docstring_parser,,pkg:pypi/docstring_parser@0.18.0,
email-validator,2.3.0,pypi,Unlicense,LICENSE,,https://github.com/JoshData/python-email-validator,,,pkg:pypi/email-validator@2.3.0,
exceptiongroup,1.3.1,pypi,MIT AND PSF-2.0,LICENSE,https://github.com/agronholm/exceptiongroup/blob/main/LICENSE,,https://github.com/agronholm/exceptiongroup,,pkg:pypi/exceptiongroup@1.3.1,
fastmcp,3.4.4,pypi,Apache-2.0,LICENSE,,https://gofastmcp.com,https://github.com/PrefectHQ/fastmcp,,pkg:pypi/fastmcp@3.4.4,
fastmcp-slim,3.4.4,pypi,Apache-2.0,,,https://gofastmcp.com,https://github.com/PrefectHQ/fastmcp,,pkg:pypi/fastmcp-slim@3.4.4,
griffelib,2.1.0,pypi,ISC,LICENSE,,,,,pkg:pypi/griffelib@2.1.0,
h11,0.16.0,pypi,MIT,LICENSE.txt,,https://github.com/python-hyper/h11,,,pkg:pypi/h11@0.16.0,
httpcore,1.0.9,pypi,BSD-3-Clause,LICENSE.md,,https://www.encode.io/httpcore/,https://github.com/encode/httpcore,,pkg:pypi/httpcore@1.0.9,
httpx,0.28.1,pypi,BSD-3-Clause,,,https://github.com/encode/httpx,https://github.com/encode/httpx,,pkg:pypi/httpx@0.28.1,
httpx-sse,0.4.3,pypi,MIT,LICENSE,,https://github.com/florimondmanca/httpx-sse,,,pkg:pypi/httpx-sse@0.4.3,
idna,3.18,pypi,BSD-3-Clause,LICENSE.md,,,https://github.com/kjd/idna,,pkg:pypi/idna@3.18,
iniconfig,2.3.0,pypi,MIT,LICENSE,,https://github.com/pytest-dev/iniconfig,,,pkg:pypi/iniconfig@2.3.0,
jaraco.classes,3.4.0,pypi,MIT,LICENSE,https://github.com/jaraco/jaraco.classes/blob/main/pyproject.toml,https://github.com/jaraco/jaraco.classes,,,pkg:pypi/jaraco.classes@3.4.0,
jaraco.context,6.1.2,pypi,MIT,LICENSE,,,https://github.com/jaraco/jaraco.context,,pkg:pypi/jaraco.context@6.1.2,
jaraco.functools,4.6.0,pypi,MIT,LICENSE,,,https://github.com/jaraco/jaraco.functools,,pkg:pypi/jaraco.functools@4.6.0,
jeepney,0.9.0,pypi,MIT,LICENSE,,https://jeepney.readthedocs.io/en/latest/,https://gitlab.com/takluyver/jeepney,,pkg:pypi/jeepney@0.9.0,
joserfc,1.7.4,pypi,BSD-3-Clause,LICENSE,,https://jose.authlib.org/,https://github.com/authlib/joserfc,,pkg:pypi/joserfc@1.7.4,
jsonref,1.1.0,pypi,MIT,,,https://jsonref.readthedocs.io/en/latest/,https://github.com/gazpachoking/jsonref,,pkg:pypi/jsonref@1.1.0,
jsonschema,4.26.0,pypi,MIT,COPYING,,https://github.com/python-jsonschema/jsonschema,https://github.com/python-jsonschema/jsonschema,,pkg:pypi/jsonschema@4.26.0,
jsonschema-path,0.5.0,pypi,Apache-2.0,LICENSE,,,https://github.com/p1c2u/jsonschema-path,,pkg:pypi/jsonschema-path@0.5.0,
jsonschema-specifications,2025.9.1,pypi,MIT,COPYING,,https://github.com/python-jsonschema/jsonschema-specifications,https://github.com/python-jsonschema/jsonschema-specifications,,pkg:pypi/jsonschema-specifications@2025.9.1,
keyring,25.7.0,pypi,MIT,LICENSE,,,https://github.com/jaraco/keyring,,pkg:pypi/keyring@25.7.0,
markdown-it-py,4.2.0,pypi,MIT,LICENSE; LICENSE.markdown-it,https://github.com/executablebooks/markdown-it-py/blob/master/LICENSE,https://github.com/executablebooks/markdown-it-py,,,pkg:pypi/markdown-it-py@4.2.0,
mcp,1.28.1,pypi,MIT,LICENSE,,https://modelcontextprotocol.io,https://github.com/modelcontextprotocol/python-sdk,,pkg:pypi/mcp@1.28.1,
mdurl,0.1.2,pypi,MIT,,https://github.com/executablebooks/mdurl/blob/master/LICENSE,https://github.com/executablebooks/mdurl,,,pkg:pypi/mdurl@0.1.2,
more-itertools,11.1.0,pypi,MIT,LICENSE,,https://github.com/more-itertools/more-itertools,,,pkg:pypi/more-itertools@11.1.0,
openapi-pydantic,0.5.1,pypi,MIT,,,https://github.com/mike-oakley/openapi-pydantic,https://github.com/mike-oakley/openapi-pydantic,,pkg:pypi/openapi-pydantic@0.5.1,
opentelemetry-api,1.44.0,pypi,Apache-2.0,LICENSE,,https://github.com/open-telemetry/opentelemetry-python/tree/main/opentelemetry-api,https://github.com/open-telemetry/opentelemetry-python,,pkg:pypi/opentelemetry-api@1.44.0,
packaging,26.2,pypi,Apache-2.0 OR BSD-2-Clause,LICENSE; LICENSE.APACHE; LICENSE.BSD,,https://packaging.pypa.io/,https://github.com/pypa/packaging,,pkg:pypi/packaging@26.2,
pathable,0.6.0,pypi,Apache-2.0,LICENSE,,,https://github.com/p1c2u/pathable,,pkg:pypi/pathable@0.6.0,
platformdirs,4.11.0,pypi,MIT,LICENSE,,https://github.com/tox-dev/platformdirs,https://github.com/tox-dev/platformdirs,,pkg:pypi/platformdirs@4.11.0,
pluggy,1.6.0,pypi,MIT,LICENSE,,,,,pkg:pypi/pluggy@1.6.0,
py-key-value-aio,0.4.5,pypi,Apache-2.0,LICENSE,,,,,pkg:pypi/py-key-value-aio@0.4.5,
pycparser,3.0,pypi,BSD-3-Clause,LICENSE,,https://github.com/eliben/pycparser,,,pkg:pypi/pycparser@3.0,
pydantic,2.13.4,pypi,MIT,LICENSE,,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,,pkg:pypi/pydantic@2.13.4,
pydantic-settings,2.14.2,pypi,MIT,LICENSE,,https://github.com/pydantic/pydantic-settings,https://github.com/pydantic/pydantic-settings,,pkg:pypi/pydantic-settings@2.14.2,
pydantic_core,2.46.4,pypi,MIT,LICENSE,,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic/tree/main/pydantic-core,,pkg:pypi/pydantic_core@2.46.4,
Pygments,2.20.0,pypi,BSD-2-Clause,AUTHORS; LICENSE,,https://pygments.org,https://github.com/pygments/pygments,,pkg:pypi/pygments@2.20.0,
PyJWT,2.13.0,pypi,MIT,LICENSE; AUTHORS.rst,,https://github.com/jpadilla/pyjwt,,,pkg:pypi/pyjwt@2.13.0,
pyperclip,1.11.0,pypi,BSD,LICENSE.txt; AUTHORS.txt,,https://github.com/asweigart/pyperclip,,,pkg:pypi/pyperclip@1.11.0,
pytest,9.1.1,pypi,MIT,LICENSE,,https://docs.pytest.org/en/latest/,https://github.com/pytest-dev/pytest,,pkg:pypi/pytest@9.1.1,
pytest-asyncio,1.4.0,pypi,Apache-2.0,LICENSE,,https://github.com/pytest-dev/pytest-asyncio,https://github.com/pytest-dev/pytest-asyncio,,pkg:pypi/pytest-asyncio@1.4.0,
python-dotenv,1.2.2,pypi,BSD-3-Clause,LICENSE,,,https://github.com/theskumar/python-dotenv,,pkg:pypi/python-dotenv@1.2.2,
python-multipart,0.0.32,pypi,Apache-2.0,LICENSE.txt,,https://github.com/Kludex/python-multipart,https://github.com/Kludex/python-multipart,,pkg:pypi/python-multipart@0.0.32,
PyYAML,6.0.3,pypi,MIT,LICENSE,,https://pyyaml.org/,https://github.com/yaml/pyyaml,,pkg:pypi/pyyaml@6.0.3,
referencing,0.37.0,pypi,MIT,COPYING,,https://github.com/python-jsonschema/referencing,https://github.com/python-jsonschema/referencing,,pkg:pypi/referencing@0.37.0,
rich,15.0.0,pypi,MIT,LICENSE,,https://github.com/Textualize/rich,,,pkg:pypi/rich@15.0.0,
rich-rst,2.1.0,pypi,MIT,LICENSE; rich_rst/_vendor/LICENSES.txt,,https://wasi-master.github.io/rich-rst,https://github.com/wasi-master/rich-rst,,pkg:pypi/rich-rst@2.1.0,
rpds-py,2026.6.3,pypi,MIT,LICENSE,,https://github.com/crate-py/rpds,https://github.com/crate-py/rpds,,pkg:pypi/rpds-py@2026.6.3,
ruff,0.16.0,pypi,MIT,LICENSE,,https://docs.astral.sh/ruff,https://github.com/astral-sh/ruff,,pkg:pypi/ruff@0.16.0,
SecretStorage,3.5.0,pypi,BSD-3-Clause,LICENSE,,https://github.com/mitya57/secretstorage,,,pkg:pypi/secretstorage@3.5.0,
sse-starlette,3.4.6,pypi,BSD-3-Clause,LICENSE; AUTHORS,,https://github.com/sysid/sse-starlette,https://github.com/sysid/sse-starlette,,pkg:pypi/sse-starlette@3.4.6,
starlette,1.3.1,pypi,BSD-3-Clause,LICENSE.md,,https://github.com/Kludex/starlette,https://github.com/Kludex/starlette,,pkg:pypi/starlette@1.3.1,
typing-inspection,0.4.2,pypi,MIT,LICENSE,,https://github.com/pydantic/typing-inspection,https://github.com/pydantic/typing-inspection,,pkg:pypi/typing-inspection@0.4.2,
typing_extensions,4.16.0,pypi,PSF-2.0,LICENSE,,https://typing-extensions.readthedocs.io/,https://github.com/python/typing_extensions,,pkg:pypi/typing_extensions@4.16.0,
