name,version,ecosystem,license,license_file,license_evidence,homepage,repository,source,purl,direct
aho-corasick,1.1.3,cargo,Unlicense OR MIT,,,https://github.com/BurntSushi/aho-corasick,https://github.com/BurntSushi/aho-corasick,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/aho-corasick@1.1.3,False
ai-rules,1.7.0,cargo,Apache License 2.0,,,,,,pkg:cargo/ai-rules@1.7.0,True
anstream,0.6.20,cargo,MIT OR Apache-2.0,,,,https://github.com/rust-cli/anstyle.git,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/anstream@0.6.20,False
anstyle,1.0.11,cargo,MIT OR Apache-2.0,,,,https://github.com/rust-cli/anstyle.git,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/anstyle@1.0.11,False
anstyle-parse,0.2.7,cargo,MIT OR Apache-2.0,,,,https://github.com/rust-cli/anstyle.git,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/anstyle-parse@0.2.7,False
anstyle-query,1.1.4,cargo,MIT OR Apache-2.0,,,,https://github.com/rust-cli/anstyle.git,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/anstyle-query@1.1.4,False
anstyle-wincon,3.0.10,cargo,MIT OR Apache-2.0,,,,https://github.com/rust-cli/anstyle.git,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/anstyle-wincon@3.0.10,False
anyhow,1.0.98,cargo,MIT OR Apache-2.0,,,,https://github.com/dtolnay/anyhow,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/anyhow@1.0.98,False
bitflags,2.9.1,cargo,MIT OR Apache-2.0,,,https://github.com/bitflags/bitflags,https://github.com/bitflags/bitflags,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/bitflags@2.9.1,False
bstr,1.12.1,cargo,MIT OR Apache-2.0,,,https://github.com/BurntSushi/bstr,https://github.com/BurntSushi/bstr,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/bstr@1.12.1,False
bumpalo,3.19.0,cargo,MIT OR Apache-2.0,,,,https://github.com/fitzgen/bumpalo,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/bumpalo@3.19.0,False
cfg-if,1.0.1,cargo,MIT OR Apache-2.0,,,,https://github.com/rust-lang/cfg-if,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/cfg-if@1.0.1,False
clap,4.5.43,cargo,MIT OR Apache-2.0,,,,https://github.com/clap-rs/clap,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/clap@4.5.43,False
clap_builder,4.5.43,cargo,MIT OR Apache-2.0,,,,https://github.com/clap-rs/clap,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/clap_builder@4.5.43,False
clap_derive,4.5.41,cargo,MIT OR Apache-2.0,,,,https://github.com/clap-rs/clap,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/clap_derive@4.5.41,False
clap_lex,0.7.5,cargo,MIT OR Apache-2.0,,,,https://github.com/clap-rs/clap,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/clap_lex@0.7.5,False
